Q12913 P46087
Q9BQ48 P05067
P12830 Q8WZ42
P48634 Q9P015
P13473 P41440
Q6UY01 O60732
O14967 Q9UKY4
P55854 O95551
Q5UIP0 Q9NYB0
Q96CF2 Q02543
Q9UMS0 O95278
Q8WWU7 P01834
O95433 P62244
Q15750 Q7L266
Q92995 Q9NQC7
Q9NYB0 Q9NZT2
Q8WVJ2 Q8WZ42
P19320 Q7KZF4
Q9NWT6 Q92844
Q8TDB4 Q8N201
Q9NZQ7 Q08J23
Q9UHP7 Q96ES6
Q9NRS4 O76061
P60866 Q9H3S1
Q9UIR0 Q13683
P05060 P05109
Q9BUB7 Q96A35
Q9BUB7 Q8N5N7
Q9Y624 Q9BV20
Q9UJV8 Q96PV6
Q02878 P51398
P40259 Q71RG4
Q96JC9 Q6PCB5
P04150 Q15466
Q9UFF9 Q14201
P62136 O60245
Q9Y6G3 P09110
Q9NV88 P28799
Q8TB96 Q9BRT6
Q9NYB0 Q5T3J3
Q01860 O43395
A6NJ78 Q8TCS8
Q6UY14 O15160
Q8NE86 Q96EY7
P40967 Q9UK39
Q9NPD3 Q96GC5
P55060 P12830
P27487 O76021
Q96PQ1 P29350
Q9Y617 P05067
O60356 O15160
Q86WK7 Q86WK6
P06401 P38646
Q9Y3B7 P49753
P05067 Q96NE9
Q15526 Q9Y2R9
Q9GZP9 Q96CS3
Q07021 Q9Y2Q9
Q16790 P11717
P29074 P26641
O15393 Q9Y4L1
Q92915 Q92628
O14770 Q9UJX0
Q8IUC6 Q15629
P13385 P34059
Q15293 P51687
Q14442 Q16850
O00418 Q92598
P06396 Q6ZP82
Q8N386 Q8WUH2
Q9NZD8 Q96DZ9
Q96GX1 P18031
P62249 O95363
P12830 Q5SYE7
Q14790 P46527
P29692 Q96B23
Q96HN2 Q8N9N5
Q9H4L4 Q9ULW3
P06748 Q9UNX3
P48742 Q96A47
Q02509 Q15468
Q6NUS6 Q5BJH7
P28799 P12111
P17813 Q9UK05
O95813 Q9UBG0
Q96ES7 Q6ZSJ8
P04150 Q16822
Q9HC29 P21580
P62277 P62244
Q9Y2J2 Q6P1X5
Q7L2J0 Q9Y399
Q8WTV1 Q9Y2R9
Q96HR8 Q6NYC1
Q9H9S0 Q70CQ2
Q7L2H7 P05067
Q96RD7 Q13433
Q9NYB0 P47224
P18031 Q96HY6
Q9NQC7 Q8WWY3
O95970 Q9NZR2
Q9NRS4 P06702
P05067 P07359
Q9NQ55 Q9HAN9
P60484 Q7Z7L7
Q96MM6 Q14257
Q96NL1 Q9Y2C4
P60852 Q12836
Q969N2 P42357
Q16799 Q9BTV4
Q13309 P05060
Q92535 Q9BRB3
Q9Y4E8 P0DPA2
Q15262 O15118
P05067 Q9Y324
Q6P5W5 O43808
Q8WVJ2 P18858
P11387 P49917
P38936 P51784
Q86T26 Q8WTV0
Q86X19 O95297
Q7Z417 Q9H2X0
Q8TCJ2 Q6ZNG2
P78424 O75360
O95390 Q8TDY8
Q96CF2 P62829
P09132 O76080
Q9HCN8 Q9P2B2
Q8N5N7 P51649
Q9NYK5 Q7Z7F7
O15205 Q9Y4L1
P60484 O75818
P10276 O95602
P05067 O75147
Q13573 Q8IYB3
Q9UHD9 Q9NZ09
Q92934 Q07812
O00206 Q92752
Q9UKY7 P43897
Q13503 Q12824
P29350 Q0P6H9
Q96QK1 P21589
Q9BVT8 P55061
Q92820 P00374
Q96BP2 P82933
Q13045 Q99836
Q5VY09 P30305
Q6NUS6 Q2MV58
Q9ULR3 Q9BQK8
P01876 Q9NY47
Q96GC9 P52907
Q9BYD1 Q9Y2Q9
Q13601 Q9UKD2
O15194 Q96J84
Q92995 Q8WWY3
P02675 Q8WYA6
P11279 O15173
Q9UBL9 Q99943
O75534 Q9H7E2
P50222 P56180
Q5T3J3 Q8N9R8
Q96GX9 Q08188
P98160 P17301
P04150 Q9ULX3
P35680 Q9UIU6
P27487 Q9NQX7
Q9GZY0 Q96QD9
Q01344 Q6UVK1
Q400G9 O95831
Q9BVS5 P30038
Q96AG4 P30050
Q06141 P02751
P62136 P04004
Q8N5I3 P39656
Q96MF6 O43847
Q02878 P62277
P01133 P00749
Q9BRN9 Q68CR1
O75390 P20933
Q12931 P13797
Q9NXW9 Q9UFC0
P28799 Q96F86
P07954 Q9NQT4
Q8N806 Q96JN0
Q9UQ10 Q00587
P03372 Q15750
P23352 Q96QE5
P46779 Q03701
O76075 Q9BVS5
Q9NX40 Q96CS3
O43181 P50914
Q6P587 P43897
P27487 P18031
A6NJ78 Q9H0R6
Q02083 Q24JP5
P03372 P16455
P29692 Q09666
Q96A22 Q9NW97
P40818 O43633
Q96NL1 Q9UBH6
P02751 P60866
P02751 P08865
O60346 P51693
Q9HC29 Q9H0F6
Q13442 P05067
Q86YD3 P01137
Q8N0W7 Q9UNX3
Q16819 P07492
Q9NUM4 Q7Z4U5
O95831 Q8TEV9
O95831 P15927
P50454 Q9Y2X3
Q400G9 Q5SYE7
Q70EK8 P04040
P15391 Q969P0
P01133 Q6UW88
Q4G0X4 Q8NC69
Q6NYC1 Q7L4I2
Q9H3S1 P78357
Q9ULW3 Q15361
O76024 Q3B7T1
Q14978 Q12789
Q9Y294 Q5UIP0
Q5BJD5 Q12893
P61353 P62244
P08034 Q5J8M3
Q92934 Q8NE86
P06748 P16871
Q9NXC2 Q9UJK0
P35680 P23759
Q2MV58 Q92621
P29966 P43121
Q9NZQ7 Q15437
Q8WUX9 P13473
O14798 Q12913
P29350 P78324
Q9NYB0 P15927
Q12805 P61812
Q13111 Q8WWY3
Q9GZS9 Q99442
Q96ST2 Q92733
Q9NPH5 Q9HC84
Q9UQ10 Q5TA45
P62136 Q92673
P13473 Q8N1F8
O75147 O60828
O43920 O95831
P17813 P05114
Q96HY6 Q8TCJ2
Q99933 P10275
P48634 Q15032
P04150 Q8NHM5
P17812 Q96PZ0
P39880 O43570
P55854 P52655
P12319 P01854
Q9BUL9 Q99575
Q7LFX5 Q8NBI5
P80370 Q68D91
Q15257 Q9NY27
P16671 Q9H2X0
O15393 Q02978
Q9Y5X9 Q6UWY0
Q14766 P02751
Q13503 Q8NBX0
Q9H4L4 P06737
Q96QE5 Q96EY7
Q96GC9 P50222
P62241 Q7Z7F7
Q9NPL8 Q9NX40
Q86UE4 O60256
O95999 Q13261
Q9NWT6 Q6ZRV2
Q9H8X2 P03891
Q08AM6 O95297
Q9UNX3 O76021
P05161 Q9P035
Q14512 P62917
P04040 Q9BXR5
Q9H1M4 Q92743
P10275 P40189
Q96C36 P05067
Q99442 Q5SNT2
P04183 P47897
O00165 Q9NX40
P01019 Q8TAX9
Q02543 P62249
O14931 O75882
Q9UHD9 O75808
Q9H501 Q9NY61
Q9HCN8 Q9NTN9
Q9Y2P8 Q7Z417
Q13155 Q96HA8
Q06710 Q13309
Q9NWH7 Q96A72
Q16819 P01270
Q9NRS4 Q9UBM7
Q2MV58 Q99943
Q96HY6 Q7L5N7
O75439 P51398
Q8NA54 P0DPA2
P01024 P04196
Q9UJ70 Q8IZH2
Q9Y2I6 Q9Y676
Q14160 P12830
Q9BUA6 Q4G176
Q7Z4N8 Q01826
P11831 P15927
Q99943 P02749
P56199 P21941
O95498 O95672
Q13635 P48556
P20839 P17812
Q96CF2 Q58FF6
O95866 P29350
Q14108 Q9NS69
Q9NQC7 Q96SW2
P02751 Q13797
Q96QV1 Q13635
B9A064 O15031
Q96DZ9 Q9NQC3
Q86X76 P12074
O75439 Q9H2U2
P36578 Q15573
Q9NQC7 P47897
Q96HY6 Q9UNQ2
P08519 P02675
Q9Y5X9 Q13332
Q9BUB7 O43181
P08247 O95971
A4D1S0 P12259
P18031 O15027
Q8N766 P22695
Q13601 O95453
P27695 Q9Y2X3
P14138 P08582
P10275 Q6ZU65
Q96H96 O00567
P01730 P10966
Q9H4Y5 O15160
Q7Z5L7 Q96F46
Q9H9J2 Q9NVS2
Q8NHZ8 Q86X55
O14653 P05067
P16410 P50443
P13473 Q96AG4
P25942 Q9HAV4
Q9NRS4 P84996
Q5JQC9 P10644
Q9NZD8 Q9NTM9
Q13426 Q09666
Q9BWV1 Q5T3J3
O14980 Q8N7H5
P78310 Q5VUB5
Q15125 Q0VAQ4
Q9NVH0 P82673
O00418 P46777
Q9H7H0 P20674
P29350 Q9UNQ2
O00220 O14763
P50454 Q6PI98
Q02556 O00512
Q8TDN6 P62906
Q99442 Q13563
O95831 P24752
P03372 O15145
Q12824 Q15046
Q2M2E3 Q86VI4
Q9H3D4 P02790
Q6AZY7 Q58FG1
Q8NBP7 P53007
Q9Y324 P21128
P50222 Q9NUB1
Q16829 O43592
P80404 Q9NPH0
Q96CM3 O60783
O75783 O95870
Q9Y5V3 Q86UY5
P62910 P46777
Q9HBV2 O95258
Q9UPM6 Q96BY7
Q9NPH0 Q10713
Q99944 P02788
Q9HCS5 Q5T0W9
Q08AM6 Q8TDP1
P59103 P14920
P10275 Q9H0E3
Q9UBP6 P27695
P26012 P04275
Q9Y5I4 Q86VI4
Q9NVH0 P78395
O75319 Q9P015
Q5VX71 P49641
P11279 Q969R8
P55809 P20674
P10275 P27797
Q14108 P09211
Q9NRS4 O14735
Q9UIR0 Q9Y4K0
P02751 P08697
P04040 P21589
Q07021 P82675
P15927 P62081
P14138 O75882
Q6P1J9 Q02413
Q9Y4I5 Q96Q05
P03372 Q9NPD3
Q9Y2I6 O60343
Q13573 Q99848
P36578 Q02878
P08034 P15692
P11831 P55084
P10912 Q12923
Q8WWZ8 Q15262
P06702 P05109
P11279 O15027
O75489 Q5J8M3
Q99575 Q9H7H0
Q07108 Q9NS64
O75147 Q96AK3
Q9UK85 Q03167
Q9UNN8 P04070
Q01780 Q7L2H7
Q6P1J9 Q10570
Q6NUS6 Q9UBM7
Q96LR2 O14802
P78310 Q15678
Q14978 Q8NFJ5
Q9NZN8 O15027
Q9H6X2 P05067
Q7KZF4 Q9H7E2
O43707 P06396
Q7L5N7 Q6UWP7
P03372 Q9BXS6
Q13895 P62241
Q86T13 Q16643
Q9UHD9 Q96FE7
Q96H96 Q96P63
Q9BRT6 P62277
P0C7A2 P0CG47
O75390 Q5TEU4
A4D1S0 Q53EP0
P19320 O43633
Q96GX9 P0DPA2
P12830 P48775
Q96CS3 P35354
Q9Y4K0 Q9UPU7
P30203 O95602
Q13158 Q14790
O00602 P23142
Q99442 Q9UM00
Q9UI38 P01137
Q86T13 O95671
Q14694 Q9H7E2
Q6ZMH5 A0PJW6
Q8N1F8 Q12824
Q15262 Q9NRB3
P26367 Q6ZU65
Q9NZQ7 Q92820
Q5SWW7 Q7Z5V6
P35243 Q53FT3
Q9BVS5 Q96A35
Q15293 Q8IX12
O95602 Q8IXW5
P50222 Q7Z4N8
P35219 P01860
Q6IEG0 P28799
O60343 Q92547
Q9H3M0 Q92504
P61353 Q02878
Q96M27 P05067
Q9NQT5 Q96B26
Q8WVQ1 Q03167
P27695 Q8WXG6
P62241 Q9BYD1
Q5BJD5 O43592
O95147 Q9Y676
Q07699 Q8IWT1
P03952 Q15003
Q02543 Q9Y3C1
Q9H2D1 Q86WR0
O75817 P78346
Q9NUM4 O95672
Q13797 P01834
Q9UEW3 O60568
Q99674 Q6PCB0
P03372 P21589
P61009 Q8WXG6
P62241 Q96A35
P62241 Q8N5N7
Q9UIR0 O75462
Q9NX40 Q9BXK5
P46779 P62910
Q8NI37 P0CG47
Q9Y6G3 P82933
P06748 Q7L2J0
P28068 Q5HYA8
Q96A22 O43491
Q8WZ55 P05067
O95197 Q8WV92
Q08AM6 Q53EP0
Q96QK1 Q15459
Q2MV58 P39656
Q86VU5 Q9UBU6
Q00325 P14625
P12644 P48645
P20807 Q53EP0
P50053 Q8NDH3
P20155 Q99766
P62269 P62277
Q9HD47 P13473
Q9H6X2 P46379
O15503 P04035
O95985 P48200
Q9H7H0 O60783
P43364 Q9NP98
Q9BUB7 Q6L8Q7
Q8N386 P56589
Q9NQC7 Q8IZ83
O14980 O60678
Q9UK85 Q9UQ53
Q9BXB1 O95602
Q9H0D6 Q9NYK5
P09871 P05155
P04181 Q9UMS0
Q07020 O76021
Q9ULY5 Q7L8L6
Q6ZMB5 Q5BJD5
Q9Y6G3 Q9NVS2
P26367 Q9H0E3
Q9Y3U8 Q9Y3B9
Q15370 P10912
Q96CM3 P49753
P05156 P02741
Q01628 Q9NRZ5
P29966 P18031
Q13635 O75462
Q9NQC7 P29692
P23759 Q8NHM5
Q8N441 Q9UNK9
Q96FQ6 Q5JTV8
A1L190 P0CG47
Q9Y6G3 Q08J23
Q10588 P34059
Q86VX2 Q9P000
Q9H9S0 Q05209
Q30KP9 Q5HYA8
O43570 Q96GM8
Q13635 Q9NXS2
Q8IW35 Q92673
O15118 P0CG47
P11912 O60353
Q9ULW3 O76021
O00339 Q14624
P01137 P35680
P47897 P26641
Q14512 Q9BXY0
P18077 Q02252
P23280 Q9UIW2
Q86X19 Q9H6U8
Q14512 P62841
P22692 Q96F46
P78310 Q02487
Q15293 Q6PCB0
Q99442 Q12769
Q96GY3 Q8NCD3
P42768 Q99828
Q8WWF1 Q9NTN9
Q86X19 P49006
Q9Y5Y6 Q95460
P40967 Q9H6X2
O75147 Q9NVV4
Q9BVS5 Q9Y2Q9
Q13257 Q12931
P49458 Q15185
P49765 Q9BYJ1
P98153 Q8TC07
Q86YD3 P49641
Q99836 Q13568
Q9UBP6 Q12888
Q9Y239 Q14790
P49639 P27918
O75489 Q07021
Q01344 P98160
P31314 Q6MZP7
P19429 P45379
O95425 P10275
P38936 P15880
O75147 Q9NQ55
Q9NUM4 Q9BTV4
Q9BV47 O75439
Q7L2J0 Q8WWY3
Q9Y266 Q9UFC0
Q5T7W7 Q12913
P10276 P14859
O43490 P11279
Q10713 Q9HA77
Q9H9A7 Q13472
Q8NBF2 O95573
P15880 P08865
P10275 Q96PV6
P43490 P26641
Q14696 Q9NTM9
O43169 P14314
Q9P032 Q10713
P03372 O75822
Q9BVT8 P06748
Q6UXG8 O95297
P46779 P05067
P05060 P19388
Q99798 Q01581
Q9UNX3 Q9ULW3
P00736 P02746
O00220 Q6UVM3
Q02083 Q56VL3
Q9BRN9 Q9Y2E5
O14798 O14763
Q8WWY7 Q92504
Q96JE7 Q9H0C2
O75439 P22695
Q9NUM4 Q14517
Q96DZ1 Q9Y520
Q9BUU2 P20839
O43490 Q9BUF7
P30049 Q8WZ42
Q96H96 P61353
P03372 Q8IZH2
Q9Y5Y6 Q13332
Q14093 Q9UIF7
Q9H106 O60353
Q8TDN6 P62081
Q92496 P0C0L5
P16298 P20674
Q6X784 Q86VZ4
P14770 Q8TB96
Q9NYB0 Q14814
Q96H96 Q86YZ3
Q96MM6 Q8WY54
P46527 P0CG47
Q14696 P05067
Q01860 Q8NHM5
Q8TDB4 Q5UIP0
Q92820 O43707
Q5TGY3 P36578
Q13257 Q9H307
P46776 P62861
Q02083 Q6UWY0
P03372 P49458
P10415 P55061
Q6UX41 Q9NUM4
Q15011 Q9UHD9
Q9BVT8 P46060
Q6IN84 Q9Y399
Q9Y2Z9 O75439
Q9H269 Q6P161
Q9H7H0 P49753
P16410 O43808
Q86T26 O14967
P62917 P62249
Q9Y266 P20810
O75880 O75431
Q6P5W5 O60704
Q8N3V7 P84996
Q16827 P01893
Q5JVS0 O43395
P10275 Q86YV9
Q53GS9 O43159
Q9UBP6 Q8WUR7
P04181 P10768
O75439 P53597
Q02878 Q9P015
Q9UHQ9 Q9Y305
Q9BSH4 Q9Y399
Q9NYK1 P42357
P12830 Q1W6H9
O95476 Q9NX40
O00339 P01876
A6NJ78 Q96EY7
Q13573 P26640
Q86X76 P55809
P08247 P37268
P62273 P60866
A0PK05 O15258
Q6UXB1 Q8N2E2
O75489 P03923
Q9HBL7 P14314
Q96HY6 P62244
P10415 P38646
Q6UXG8 Q9H900
Q9NTX9 Q6NT76
Q2TAZ0 Q8N766
Q9Y279 Q9H649
P04150 Q9Y4L1
Q9UK80 P51587
Q15678 P12830
Q16643 P29966
P15927 Q09666
P38646 Q9NY74
Q9NYB0 Q8TAQ2
P50222 Q99943
Q16790 Q9H490
P04233 P05067
O75326 O95470
Q6P5W5 Q8NBZ7
Q93096 Q9Y2Q9
Q01628 P27797
Q6PJF5 P51648
P46779 O60287
Q86VY9 Q9HD36
Q96CS3 Q9UNN5
Q8N878 Q9NZT1
Q9H972 P05067
Q8IYS1 Q9BY89
Q9H668 Q9ULK4
Q7L273 Q96HA8
Q8WZ75 P42768
Q96AP0 Q9NUX5
Q13571 Q9NS64
P05067 Q08E93
P05114 P27797
P03372 Q16643
P05161 O43707
P51784 P35030
P62829 Q9P287
Q5TEU4 Q8WY54
Q02297 Q9Y619
Q8NEC5 Q9P0X4
Q9UQV4 Q6PI48
Q9UNQ2 P06748
P10275 Q7L2J0
Q96CM3 P24752
Q9Y279 Q96S97
P17181 Q9Y561
P31213 P26022
P05067 Q99584
Q9H3K2 P18031
Q9Y2J2 Q9UHC6
Q9NQC7 Q9Y520
Q8WWF1 Q9NPR2
Q9Y5Y6 Q13443
Q14627 Q96J84
P22459 Q8N5I3
P12694 P22695
Q7L8L6 P82673
Q96AG4 Q8IWF2
P10275 P49750
Q9Y661 Q5MIZ7
Q9NZN8 P30050
Q9H4L4 P14625
O60704 Q8N371
Q9NZD8 Q5JST6
O00339 Q9Y2W1
Q7Z4N8 O75360
P05160 P02675
O75380 P03915
O00400 Q15370
Q9HBL7 Q9NX40
P57054 Q9Y5Z9
Q30201 Q14118
O43493 P82673
P28068 Q5SWX8
O76024 Q8NA77
Q9Y2L9 O95147
Q5T700 O43808
P55084 Q9UHG3
Q14213 Q8NHL6
Q8WXI8 Q15904
Q4ZHG4 P02671
Q9H106 Q9H2X0
Q9H0E7 Q93009
Q71UM5 P62244
Q05925 Q9NRR4
P16671 Q96N66
P08311 P01019
Q92820 P08582
P27695 Q96H20
Q9NVH0 O75489
O75390 Q7Z4G4
Q6ZS10 Q9NS64
A0PK05 Q9Y619
O00567 P62244
Q6ZMB5 Q9NS69
Q6WN34 O75093
P62241 Q9NY61
P25445 Q92851
P16284 Q0VD86
Q7L8L6 Q96C36
Q9H9S0 Q9NYF8
Q07444 Q8TEQ8
Q07699 Q7L5D6
P16070 P04216
Q9NRS4 Q7Z7M0
P06396 P22692
O15496 Q96HA8
P16070 Q96QE5
Q15306 Q5JSZ5
P03372 P21266
Q9BXB1 O75976
P54578 Q9P035
Q969N2 P05120
Q8IUC6 Q14653
P55056 Q96BZ9
Q6P5W5 O95297
Q6UWV6 Q6YHK3
Q96H96 Q9Y2W1
Q8TB96 Q15904
Q8NBJ9 O95298
Q8IZH2 P46379
P10275 P28340
P11279 Q9NT68
P30049 P56134
Q9NUM3 Q9NPC4
Q7Z7A1 P49458
Q5T700 Q96S16
O15205 P46087
Q9ULY5 P11279
Q86VU5 Q8N461
Q9NW97 Q6UX40
P42768 Q6NYC1
P03372 Q9NYB0
Q9Y3B7 Q4U2R6
Q96EY7 P82673
Q9UQV4 Q86WA9
O00220 Q8N1G4
Q96HY6 Q9BTV4
Q13601 Q96GM8
Q93009 Q9UHB7
Q9NRS4 Q92820
Q9UF56 Q8N5C6
Q53F39 Q6UWL2
P13473 Q9UBH6
P09758 Q9H553
Q07020 Q9ULW3
Q96AP0 P08865
Q8WUX9 P28329
Q9UMR5 P62917
Q96S82 Q9UBQ0
P08865 Q9BRU9
Q9UBM1 Q8TF66
Q96CU9 P38646
Q8TDB4 O76024
P49639 Q86TH1
Q07021 Q96C36
P78424 Q8N9N5
P12830 O43707
Q9NYB0 Q9NV88
P19438 Q96AG4
O15144 P46060
P78310 O95297
Q8N6K0 Q9BXN2
Q92820 O75882
P13984 P62487
Q8N5Z5 Q7Z7A3
Q12918 P56589
Q8WVJ2 O43707
P22695 Q13505
Q14512 Q8TDN6
Q15750 O95147
Q9Y3B7 Q9Y676
Q8N104 Q15517
Q7RTY3 Q9BSL1
O60356 Q08J23
O75489 P23786
Q5TGY3 Q5T3J3
Q8WTR2 Q9NPL8
P26641 P20827
Q9BUB7 P82673
O95677 O75880
Q8TBG4 Q9Y5X9
Q9ULW3 Q9BVI4
Q9Y2I6 P01833
Q8WV48 Q6NUQ4
Q9NW97 Q9Y3A5
P10909 Q16378
P40337 P37231
P03952 P35556
P41235 Q15906
Q9Y535 Q0VDF9
P55075 O43159
Q96SQ9 O43491
P22692 P28799
Q7L2J0 Q9Y676
Q01344 Q12891
Q9Y2Y8 Q8NBL1
Q9H5V8 O94985
O14931 Q8NCH0
P02751 P30050
Q14140 O14980
Q9BVS5 P82675
P04004 P61812
P42768 P11387
P14138 O95407
Q9UJ70 Q16719
Q96Q11 Q15813
P61812 P17813
Q5BVD1 Q7Z4F1
P03372 Q96HY6
Q9BXJ2 O95390
O75880 O43715
P12830 Q8NHZ8
Q9UNX3 Q9Y2R9
Q96AT1 P41223
Q9BUN8 O15173
P46779 P62273
P10275 P21397
Q96HB5 Q9NZB8
P19320 Q02543
Q01628 Q9UHI8
O95672 Q13433
Q9BRK5 P50336
O75147 Q5RKV6
Q86W33 Q9H3K2
P26641 Q8WX93
Q96DD0 P06396
Q9BVS5 Q6L8Q7
P49639 O75095
Q8IYR6 P60484
Q14802 Q92990
Q07812 Q3B7T1
P0CG37 Q12891
Q8N2G4 Q8N2E2
Q8N9N5 Q8IXL7
P29084 Q8WVY7
Q96GX1 P14625
P04233 P48634
Q8IWF2 O14967
Q13291 Q13683
O14980 Q9H0D6
Q30201 P61769
Q8N9P6 Q8N2S1
P06748 Q15573
Q96BY9 P21128
Q9Y2R2 P27797
P18440 Q9Y3A5
O95425 P52907
Q12888 Q96AP0
P04150 Q9H0W7
Q9NZE8 Q9HD23
P11912 O76024
Q15404 P13598
P03372 O75817
Q96QD9 Q96B26
Q13950 Q15573
Q8WWU7 Q9NZT1
Q13257 P13984
Q969P0 P22735
Q13503 Q8IXW5
Q92844 Q14520
Q9HCS5 P41440
Q96G74 P19387
P62508 P50222
P98164 P08519
Q6P587 Q02252
Q9NS71 P01876
P34741 Q86UE4
Q96A22 Q9H329
P18031 Q9Y6I9
P98161 Q13332
P55957 P27694
P40967 P32189
Q99608 P46779
Q9NWV8 Q9UNS2
Q9UGM3 P35247
Q66K64 O75822
P37231 P62906
Q8WZ79 Q5SZK8
Q13018 O15496
Q9BUF7 Q9NSU2
Q8IZH2 P48634
Q9NVH0 Q9BSH4
Q8WUJ0 Q93009
P04183 P27694
P14138 Q2MV58
Q9H0D6 P82664
Q15750 Q9Y2S7
P53597 Q9NPH0
Q9UIR0 Q02083
Q99798 P62269
P35442 P37287
P05161 P54136
Q96QE5 P42357
Q96DP5 Q9H9J2
P27695 Q92547
P17813 O43324
O15205 Q8WZ79
Q9BSB4 P55084
Q7L2J0 P29692
Q14515 O95147
Q10570 P78316
Q8IW35 Q4G0X4
P00480 O43181
P14621 O00204
P36941 P0CG47
Q9UHC1 P01137
Q9NZQ7 P04040
O00468 P10451
Q86X19 Q86V85
Q9UKF2 O75197
O60356 O15371
Q99608 P13489
Q8WWY3 Q9HAH7
O15118 Q9NZD8
P0CG47 Q9Y2H0
P29966 Q8WUX9
Q9NPG3 Q9NZT1
Q8N766 Q15904
P03372 P19388
P19320 P62829
Q6V1X1 P49458
P13598 O94829
Q07820 P27695
Q9NZN8 Q92540
Q8TDY8 Q969P0
Q05209 P06748
P04275 P14625
Q86T13 Q9H7E2
P02751 Q14761
P04150 Q9NQH7
P17813 Q9UBP6
Q7Z739 Q14694
P21266 Q96EK7
Q9H4S2 Q96H20
Q5HYW2 Q92558
Q96EY4 P05067
P30533 P11387
O14980 P36578
Q8N3V7 Q76I76
Q8NBJ9 Q9H9S5
Q9Y2L9 Q6MZM0
Q9Y5V3 Q9NZT1
Q9Y5Y6 Q9NZV1
P06748 Q9Y3B7
O00418 P27797
P15927 Q9UNS1
Q9UJ55 P46060
Q8NA92 Q9Y2I6
P26951 Q5BJH2
Q9UBQ0 Q92609
Q96HY6 P99999
Q9UF56 O15355
P23280 Q9UKP4
Q86X19 Q8TEV9
O60902 P55212
Q86YD3 O95754
Q5TGY3 Q8IW75
Q9BXY0 P08865
P27487 P14625
Q86VU5 Q9UI10
Q07021 P62861
Q9GZP9 P08582
Q96RS6 Q96II8
P03372 Q9H501
Q13158 Q9HAV5
Q5SWH9 P30613
Q14703 O14967
Q9NPD3 Q9BZI7
Q9NVH0 Q4J6C6
P03372 Q9Y597
P55809 P07954
P04179 P80404
P05161 Q86UE4
Q96AK3 O60783
Q96CU9 Q9UNW1
Q96MF6 P22695
Q13021 Q5T700
Q96CS3 Q9BTV4
P83111 Q07021
P12314 Q9NS64
Q7L2J0 O76021
Q86X55 P03372
Q8TB96 Q02543
Q8IYG6 Q9Y244
P22304 P54802
P49639 Q6WN34
Q9UI10 Q8NE86
Q5T280 Q96HR8
P53007 P32969
P46777 P62269
O00401 Q99828
Q9Y5Y6 Q68CR1
Q71RG4 Q8N539
P15151 Q15125
O75147 Q07021
O75439 P82663
Q12931 Q9HA77
Q7L8L6 Q9NPL8
P50053 P16278
P02760 P05067
Q8WVJ2 Q14028
P04150 Q9NQC3
Q86T26 O15031
Q6NYC1 P55081
Q9H2A7 Q5SZK8
P22304 Q9HBH1
Q16790 Q9Y679
Q96PQ1 Q15848
Q9NQC3 Q96KR6
P05067 Q7Z7K6
Q96HA8 Q08AM6
Q6ZMB5 Q9NWU1
Q96PE5 Q9H3K2
O60939 Q5HYK3
Q7Z417 P20719
P04150 Q8TEV9
Q15306 Q14814
Q96JM4 Q7Z4F1
Q9NPH0 O75439
O14980 Q96F86
P25445 P55957
Q7Z417 Q9UBP4
P16871 Q12789
Q96SW2 P62241
P05423 Q9Y535
Q9UNW1 P11831
P38646 P19438
Q70EK8 Q08188
Q15125 Q9Y342
P78345 P78346
Q15742 Q9NZD8
P10276 P55055
Q96RD7 Q02487
Q9Y4E8 O43242
Q96GX1 Q9NRU3
P50222 O75093
Q9Y5F7 Q9Y6I9
Q96QD9 Q96M27
Q9BQ08 Q14766
Q9UQV4 Q86X29
Q8N766 O75844
P25942 Q14232
Q13651 P29350
O15393 Q9BQI0
Q9UNN5 Q9NSD9
P05161 Q7Z739
P13473 Q9P2D6
P49639 Q8NEC5
Q99442 P49770
Q8NE86 Q9Y399
Q7L8L6 O75489
O60356 Q14160
Q9UHD9 P46776
Q8TB96 P62829
Q9BUN8 O15027
Q6UWR7 Q9P0I2
Q8TB96 Q9HCN8
Q9ULW3 Q9Y2R9
Q6UXC1 P27797
Q9BVS5 Q9Y3B7
Q07812 O60936
Q96CF2 Q07021
O60356 Q76I76
Q9NUM4 Q96AY3
O75607 Q9UMY1
Q9UHD9 P08294
Q9NY26 Q9H2A7
Q8IYB3 Q9NZT2
Q9BXB1 P46777
Q8N9N5 Q15517
Q8N2G4 Q5NDL2
P12830 Q8N9N7
Q9UHD9 P07814
Q7L8L6 P30049
Q01344 P00374
P05981 Q5HYA8
Q96CM3 P82664
Q5T160 Q6UX71
Q8N8U9 P12644
P11279 Q8N766
Q9Y5X9 Q9Y2E5
P15927 Q15024
Q9Y3C1 Q13601
Q96HY6 Q13895
P82675 Q16378
Q96AG4 Q14232
Q15646 Q9Y3C1
Q9UNH5 O95985
Q8IWB9 P05067
P0CG37 P00749
Q9H106 P16144
Q5T2D2 Q99650
O60356 Q92738
Q6IEG0 Q15024
P27487 O60934
P11912 Q14508
Q96H96 Q16822
O00418 P06748
Q9Y240 Q5JSZ5
P04150 Q7Z392
P26006 P47224
Q9Y2I6 P01876
O76024 Q9P032
Q14093 O76021
P03372 O75688
Q9NQQ7 Q96DZ9
P04150 P55084
Q9NWV8 Q8TD30
P60484 Q9NSD9
Q5TEU4 Q9NPL8
Q9H0D6 Q03701
Q9P032 Q9H7Z7
P40337 P06702
P57088 Q14542
Q9NXK8 P78395
